id_equipamento_rdo,id_rdo,tipo_equipamento,codigo_patrimonio,status_operacao,horas_uso,observacoes
1,1,Betoneira,EQ-2024-001,operacional,8.0,
2,1,Grua,EQ-2024-015,operacional,7.5,
3,1,Compactador,EQ-2024-032,operacional,4.0,
4,2,Betoneira,EQ-2024-001,operacional,4.0,Parada por chuva das 10h às 14h
5,2,Grua,EQ-2024-015,parado,0,Parado preventivamente por chuva
6,3,Furadeira Industrial,EQ-2024-120,operacional,8.0,
7,3,Andaime Elétrico,EQ-2024-089,operacional,8.0,
8,3,Compressor,EQ-2024-045,manutencao,2.0,Manutenção preventiva realizada
9,4,Escavadeira Hidráulica,EQ-2024-008,operacional,8.0,
10,4,Rolo Compactador,EQ-2024-033,operacional,6.0,
11,5,Betoneira 400L,EQ-2024-002,operacional,8.0,
12,5,Vibrador de Concreto,EQ-2024-055,operacional,6.0,
13,5,Serra Circular,EQ-2024-078,operacional,7.0,
